"","Grid","Continent"
"3563",3563,"North America"
"3564",3564,"North America"
"3565",3565,"North America"
"3576",3576,"North America"
"3590",3590,"North America"
"3591",3591,"North America"
"3592",3592,"North America"
"3593",3593,"North America"
"3594",3594,"North America"
"3595",3595,"North America"
"3596",3596,"North America"
"3598",3598,"North America"
"3599",3599,"North America"
"3600",3600,"North America"
"3601",3601,"North America"
"3602",3602,"North America"
"3603",3603,"North America"
"3604",3604,"North America"
"3605",3605,"North America"
"3606",3606,"North America"
"3607",3607,"North America"
"3608",3608,"North America"
"3609",3609,"North America"
"3610",3610,"North America"
"3611",3611,"North America"
"3612",3612,"North America"
"3613",3613,"North America"
"3614",3614,"North America"
"3615",3615,"North America"
"3616",3616,"North America"
"3617",3617,"North America"
"3618",3618,"North America"
"3619",3619,"North America"
"3620",3620,"North America"
"3621",3621,"North America"
"3622",3622,"North America"
"3623",3623,"North America"
"3624",3624,"North America"
"3625",3625,"North America"
"3626",3626,"North America"
"3627",3627,"North America"
"3628",3628,"North America"
"3629",3629,"North America"
"3630",3630,"North America"
"3631",3631,"North America"
"3632",3632,"North America"
"3633",3633,"North America"
"3634",3634,"North America"
"3635",3635,"North America"
"3636",3636,"North America"
"3637",3637,"North America"
"3638",3638,"North America"
"3639",3639,"North America"
"3640",3640,"North America"
"3641",3641,"North America"
"3642",3642,"North America"
"3643",3643,"North America"
"3644",3644,"North America"
"3645",3645,"North America"
"3646",3646,"North America"
"3647",3647,"North America"
"3650",3650,"North America"
"3746",3746,"Eurasia"
"3747",3747,"Eurasia"
"3749",3749,"Eurasia"
"3750",3750,"Eurasia"
"3751",3751,"Eurasia"
"3752",3752,"Eurasia"
"3753",3753,"Eurasia"
"3787",3787,"Eurasia"
"3788",3788,"Eurasia"
"3791",3791,"Eurasia"
"3793",3793,"Eurasia"
"3794",3794,"Eurasia"
"3795",3795,"Eurasia"
"3796",3796,"Eurasia"
"3797",3797,"Eurasia"
"3798",3798,"Eurasia"
"3799",3799,"Eurasia"
"3800",3800,"Eurasia"
"3801",3801,"Eurasia"
"3802",3802,"Eurasia"
"3803",3803,"Eurasia"
"3804",3804,"Eurasia"
"3805",3805,"Eurasia"
"3806",3806,"Eurasia"
"3807",3807,"Eurasia"
"3964",3964,"North America"
"3965",3965,"North America"
"3966",3966,"North America"
"3967",3967,"North America"
"3968",3968,"North America"
"3969",3969,"North America"
"3970",3970,"North America"
"3971",3971,"North America"
"3972",3972,"North America"
"3973",3973,"North America"
"3974",3974,"North America"
"3975",3975,"North America"
"3976",3976,"North America"
"3977",3977,"North America"
"3984",3984,"North America"
"3985",3985,"North America"
"3986",3986,"North America"
"3987",3987,"North America"
"3990",3990,"North America"
"3991",3991,"North America"
"3994",3994,"North America"
"3995",3995,"North America"
"3996",3996,"North America"
"3997",3997,"North America"
"3998",3998,"North America"
"3999",3999,"North America"
"4000",4000,"North America"
"4002",4002,"North America"
"4003",4003,"North America"
"4004",4004,"North America"
"4005",4005,"North America"
"4006",4006,"North America"
"4007",4007,"North America"
"4008",4008,"North America"
"4035",4035,"North America"
"4036",4036,"North America"
"4037",4037,"North America"
"4038",4038,"North America"
"4039",4039,"North America"
"4040",4040,"North America"
"4041",4041,"North America"
"4042",4042,"North America"
"4043",4043,"North America"
"4044",4044,"North America"
"4045",4045,"North America"
"4046",4046,"North America"
"4047",4047,"North America"
"4048",4048,"North America"
"4049",4049,"North America"
"4050",4050,"North America"
"4051",4051,"North America"
"4052",4052,"North America"
"4053",4053,"North America"
"4054",4054,"North America"
"4055",4055,"North America"
"4056",4056,"North America"
"4057",4057,"North America"
"4058",4058,"North America"
"4059",4059,"North America"
"4060",4060,"North America"
"4061",4061,"North America"
"4062",4062,"North America"
"4063",4063,"North America"
"4064",4064,"North America"
"4065",4065,"North America"
"4066",4066,"North America"
"4067",4067,"North America"
"4068",4068,"North America"
"4069",4069,"North America"
"4070",4070,"North America"
"4071",4071,"North America"
"4072",4072,"North America"
"4073",4073,"North America"
"4074",4074,"North America"
"4075",4075,"North America"
"4076",4076,"North America"
"4077",4077,"North America"
"4078",4078,"North America"
"4080",4080,"North America"
"4081",4081,"North America"
"4174",4174,"Eurasia"
