grid_id,n,pd,mpd,raoq,fd,fdr,type
33142,152,7980.272040028204,268.02583964380784,19.449803076153692,2102.7790496881053,2.598976378049862,mean
33143,149,8033.0934047279125,267.40540549275994,19.522190057054942,2103.214711238655,2.598670575792749,mean
33144,146,7937.233641487452,274.906061430137,19.73515423012363,2063.7356302363437,2.5913882272360396,mean
33145,143,7709.33529094736,275.57986480058753,19.991764153756925,2071.0465242516757,2.593219896183902,mean
33146,140,7683.556641026564,277.7399636102747,19.942281494306368,1918.9189425403365,2.5695575089413087,mean
33147,133,7365.663924245672,280.70232467806204,19.733378752420144,1709.2971423599106,2.531337078825427,mean
33148,124,6984.1770125647035,287.2716181846707,19.61362073833187,1330.856283833793,2.453232901508104,mean
33149,119,6815.365980622856,287.39625350315583,20.103007830466453,1409.6087632573199,2.4694442894950637,mean
33150,113,6704.558401707136,289.32464594278747,19.823248968916932,1232.7236273370963,2.4289202049350065,mean
33162,128,7407.958216233032,277.8906798899871,19.29029801058503,1390.2725949542132,2.4670238559213304,mean
33163,139,7553.224869898284,271.5626229034431,18.68475818179828,1439.7820386682245,2.478632656275158,mean
33164,156,8154.135337564812,264.96824663805836,18.41808130611171,1712.9332969516504,2.5326387987835086,mean
33165,184,9300.45041870368,263.68091550094096,18.020762248716565,2126.5787709068672,2.6007090113172344,mean
33166,245,11066.468852453832,259.30405478738385,17.935928819299814,3350.1429400831207,2.7555481261848565,mean
33167,324,12751.460565646552,258.27147918988686,17.49548401396229,4128.354434081692,2.8288651312212143,mean
33168,364,13748.2205500074,258.39781876102404,17.2078407352961,4677.520504770741,2.872078751358427,mean
33169,350,13374.390444512928,259.04225182420396,17.11804991723227,4281.925514721071,2.8405022203230406,mean
33170,342,13366.368577618352,257.77864888039664,17.151722751010364,4190.182412378733,2.833151975090206,mean
33171,334,13286.251293529653,261.3111918773535,17.22722068854878,4190.985061326654,2.8332417269979087,mean
33172,330,13470.482733590325,264.5066953756608,17.17185546867901,4014.7399375810724,2.8186590269491156,mean
33173,337,13368.996625930407,263.88491381131786,16.79932090793395,3703.289749079769,2.7908553855139724,mean
33174,348,13628.414963071224,264.83079019461167,16.87099773892298,3936.6857454936567,2.811902081355116,mean
33175,362,13886.630633753732,267.32684281725886,16.607692632931037,3829.0494451130257,2.802216969576113,mean
33180,336,13543.19574388806,271.3948578242653,16.973377162663088,3720.115303424444,2.792472773897594,mean
33181,218,10674.725733666097,273.71464557088746,17.653621490595953,2674.499505049028,2.678411540234981,mean
33356,178,8357.326118258825,244.04543819295193,19.89003541401423,2207.7418341143534,2.6159251796371557,mean
33357,288,11945.013919723237,255.31407371794407,19.61648496468822,4014.6222137549107,2.81996175622227,mean
33358,328,12728.387278244632,256.7364560218608,19.483742501161117,4134.611162212502,2.830215214074065,mean
33359,344,13394.412948602876,259.69315008981005,19.22521516742971,4516.412249849744,2.861763194514104,mean
33360,365,14017.888907427729,258.08294771855856,19.38190394735382,5161.424928559478,2.9098212700367485,mean
33361,394,14646.918697188368,259.4997563172854,19.4532197952427,5951.825264067507,2.9614271189520265,mean
33362,419,15275.188513001536,258.03195226096943,19.33991392480082,6431.865583639176,2.9910224825581433,mean
33363,446,16211.56360420326,262.2316532089685,19.17367405642422,6691.159289860905,3.005526228570153,mean
33364,470,16794.212494700652,261.5714955631456,19.013687699756538,7326.951096288677,3.0395837079264334,mean
33365,462,16506.39874548387,248.79360016970386,18.50027934339728,7245.038751606863,3.0355020069310243,mean
33372,294,11782.175278001316,251.84544695439791,19.34154303385454,4666.881685962316,2.871996801163058,mean
33373,319,12422.047164715064,250.83456869717594,19.52515937024556,5465.627211349073,2.930024629027403,mean
33374,310,12556.519721367513,250.59138697560041,19.235900783783432,5144.469493418508,2.9080137377639046,mean
33375,199,9870.664833189525,261.56190949820365,19.846057183988002,3136.3592075888505,2.732497561673791,mean
33393,290,12278.223512739032,254.80459225653217,18.045656361770863,4371.9451859839555,2.847694721210651,mean
33394,336,13247.096892199292,250.56330140745888,17.96388487764513,5139.445945320374,2.907314103857934,mean
33395,346,13729.996606729595,255.3850517614019,17.864544526435218,5240.856147361322,2.9130449159210015,mean
33396,354,13866.150213840412,251.95911085254536,17.46391241707519,4748.418808032904,2.8791144754895504,mean
33397,284,12124.218149452432,255.85387652201837,17.84084907409511,4008.6675040275986,2.8182596775553526,mean
33398,190,9522.626882615596,258.9338794846606,18.09763313202176,2236.1405838934743,2.6192942262833236,mean
33462,34,3102.57042215168,358.3140225162129,21.40231426553794,74.10314815988924,1.705646620832148,mean
33463,36,3181.92325132168,357.57083398615686,22.278893388663946,90.93864525446176,1.7512368913384129,mean
33464,34,3100.56331134138,343.86435201894034,21.051467906064257,74.29625716969552,1.7076214853093559,mean
