grid_id,n,metrics,value
44742,4,pd,364.07652
12862,3,pd,274.50438199999996
40314,11,pd,444.415903
28814,9,pd,572.70633
25369,5,pd,303.205516
14568,1,pd,0
59973,5,pd,307.33304499999997
15235,5,pd,332.618617
27318,20,pd,1075.879863
11696,3,pd,258.804616
18059,5,pd,299.261793
17221,4,pd,334.138673
19673,41,pd,1363.897815
12758,42,pd,1178.270258
23248,11,pd,442.988362
48078,6,pd,262.040584
9148,2,pd,253.645516
47673,6,pd,486.371494
42580,7,pd,506.66885199999996
39097,6,pd,467.871273
17408,6,pd,361.67593899999997
24310,42,pd,1696.766441
23570,15,pd,498.459459
36127,11,pd,557.8160809999999
39549,8,pd,475.822807
37713,11,pd,547.135274
16665,18,pd,1095.17659
26296,19,pd,872.46599
27102,8,pd,461.51391900000004
18858,2,pd,253.645516
54258,5,pd,249.071269
18461,5,pd,332.495997
18366,73,pd,1724.616968
43876,4,pd,364.07652
58901,7,pd,492.666725
63030,22,pd,683.605499
36075,8,pd,478.614302
60630,2,pd,198.704756
48105,5,pd,473.590567
14989,2,pd,253.645516
21058,1,pd,0
11458,20,pd,584.480653
17510,78,pd,1787.40663
11279,1,pd,0
7716,1,pd,0
24980,15,pd,872.3111739999999
48624,2,pd,198.704756
45182,7,pd,392.681125
63502,7,pd,445.657787
59431,12,pd,534.6415099999999
9054,1,pd,0
64930,5,pd,345.942632
12389,5,pd,348.318383
32499,22,pd,1104.7223119999999
20636,1,pd,0
46037,4,pd,364.07652
49057,3,pd,266.525452
21002,18,pd,608.33102
23617,5,pd,313.951335
57612,15,pd,646.4177179999999
12865,2,pd,253.645516
45927,3,pd,283.991499
16502,3,pd,282.702838
10219,2,pd,253.645516
42462,8,pd,494.851616
38577,11,pd,547.135274
18501,2,pd,253.645516
27738,21,pd,698.487573
28858,33,pd,1431.800037
22260,31,pd,1218.009041
57693,2,pd,198.704756
11510,3,pd,274.50438199999996
18061,4,pd,294.22531299999997
43030,11,pd,523.269062
24733,24,pd,1194.803629
45608,4,pd,364.07652
40876,10,pd,533.385972
27736,21,pd,649.851628
37419,11,pd,560.500888
41728,12,pd,537.940519
23848,29,pd,1086.728182
28752,9,pd,611.856827
17961,14,pd,1021.933875
48519,3,pd,283.991499
24292,16,pd,1097.44877
30482,11,pd,580.616971
33112,12,pd,591.22156
44627,3,pd,283.991499
22293,19,pd,545.32444
9536,1,pd,0
58143,6,pd,409.09148999999996
30768,35,pd,732.964597
40855,8,pd,511.895747
39587,11,pd,551.3747109999999
17791,23,pd,1027.502323
52856,4,pd,363.120254
16303,6,pd,390.013961
21807,35,pd,1329.828041
14967,5,pd,332.46806599999996
12760,38,pd,1089.032975
15760,30,pd,1304.902689
51239,6,pd,378.948875
53381,3,pd,234.01068600000002
37266,9,pd,511.65732499999996
30491,10,pd,573.140538
13312,2,pd,253.645516
39127,8,pd,512.184986
32679,13,pd,611.598197
53802,2,pd,198.704756
10865,2,pd,253.645516
30030,10,pd,546.082778
31324,9,pd,534.521923
25565,33,pd,1252.4997799999999
47775,6,pd,391.772627
14135,2,pd,253.645516
18295,6,pd,440.78852
47235,5,pd,473.590567
46396,1,pd,0
28839,20,pd,576.987843
13724,4,pd,316.19996
10397,3,pd,258.804616
20161,1,pd,0
20812,25,pd,1114.9846909999999
24131,24,pd,1194.947985
11169,2,pd,253.645516
11608,2,pd,253.645516
13653,6,pd,377.375705
33029,10,pd,520.881049
14501,24,pd,1115.577656
16962,6,pd,361.67593899999997
14398,5,pd,345.217299
17983,4,pd,388.014316
18812,35,pd,1320.815019
49070,7,pd,389.230257
56842,13,pd,561.197277
49417,3,pd,283.9915
16917,12,pd,524.754586
33466,10,pd,523.109499
25415,15,pd,950.763978
27330,32,pd,1299.472073
7151,3,pd,288.661938
31330,9,pd,534.521923
34472,22,pd,728.769375
29706,17,pd,673.793338
20400,9,pd,369.25746399999997
18421,3,pd,338.932259
38690,8,pd,478.614302
39152,14,pd,619.868762
31764,9,pd,534.521923
20171,1,pd,0
52412,6,pd,344.439936
22969,41,pd,1359.440284
55452,11,pd,580.605509
15198,8,pd,377.25025899999997
25316,16,pd,538.281339
13774,2,pd,253.645516
44316,8,pd,405.46205299999997
15831,2,pd,253.645516
9129,1,pd,0
15921,4,pd,327.459517
55021,9,pd,528.875593
43105,13,pd,923.889789
9744,10,pd,391.569461
14076,7,pd,756.1283609999999
58462,7,pd,729.2017079999999
41607,9,pd,522.05571
8018,4,pd,289.69755399999997
56530,4,pd,438.284638
45051,6,pd,379.182956
8968,1,pd,0
14204,2,pd,253.645516
14803,3,pd,258.804616
45497,5,pd,329.419789
11750,1,pd,0
31815,12,pd,576.581775
27465,9,pd,580.087027
31658,13,pd,523.136011
25750,11,pd,560.852348
15909,3,pd,292.44309499999997
26466,30,pd,1322.193847
45271,14,pd,920.417648
29064,25,pd,680.2784369999999
47335,4,pd,364.07652
49375,3,pd,98.56664099999999
47772,5,pd,376.85744800000003
9971,3,pd,258.804616
32227,12,pd,601.475837
11753,1,pd,0
13192,45,pd,1387.786302
7401,1,pd,0
34806,8,pd,533.365726
32186,8,pd,533.365726
27536,8,pd,458.004635
26256,19,pd,625.424092
8034,3,pd,288.661938
23152,20,pd,640.7734790000001
15868,5,pd,369.155095
9809,5,pd,348.318383
23226,4,pd,299.771625
57613,8,pd,364.408868
51141,4,pd,291.914928
61910,3,pd,668.537974
20170,1,pd,0
9837,2,pd,253.645516
9923,2,pd,253.645516
43883,6,pd,413.764497
55681,10,pd,527.897517
8113,1,pd,0
38583,9,pd,487.825155
58998,11,pd,521.813913
52528,9,pd,446.841761
36081,8,pd,478.614302
25845,17,pd,919.887789
8690,2,pd,253.645516
26714,15,pd,1099.363711
47344,9,pd,396.999375
18837,11,pd,557.758511
20139,8,pd,495.506213
28351,11,pd,597.906037
28199,30,pd,758.871643
45283,13,pd,904.349214
43357,3,pd,183.35441500000002
29265,12,pd,571.594947
23677,13,pd,825.911237
22245,45,pd,1403.042797
14558,2,pd,253.645516
21919,2,pd,8.861062
12429,3,pd,274.50438199999996
31422,15,pd,622.469653
11726,3,pd,288.661938
49386,4,pd,296.772427
12631,1,pd,0
24274,32,pd,1172.548028
16919,13,pd,874.909819
35735,10,pd,535.686064
43862,2,pd,198.704756
29038,29,pd,733.073991
8965,1,pd,0
10000,2,pd,253.645516
13801,1,pd,0
33143,14,pd,608.350865
45490,4,pd,296.772426
9495,1,pd,0
14786,5,pd,332.618617
11475,16,pd,517.168878
49397,3,pd,352.997894
31792,11,pd,580.616971
16753,3,pd,292.44309499999997
20651,1,pd,0
16229,26,pd,1195.370948
23107,45,pd,1399.062669
22142,29,pd,1398.710134
12349,7,pd,429.89331100000004
12132,2,pd,83.39115600000001
8541,2,pd,253.645516
13912,4,pd,293.821038
14158,3,pd,274.50438199999996
40845,7,pd,473.098168
55979,11,pd,518.817644
54688,7,pd,444.08263
61490,2,pd,253.645516
25702,9,pd,528.814247
54141,4,pd,393.716117
13454,4,pd,330.357516
54798,4,pd,351.739427
19780,1,pd,0
