raw_name,trait_name,match_type
Bourreria nemoralis,Hilsenbergia nemoralis,direct kew
Bourreria radula,Bourreria nashii,direct kew
Bourreria radula,Bourreria tomentosa,direct kew
Bourreria randrianasoloana,Hilsenbergia randrianasoloana,direct kew
Bourreria schatziana,Hilsenbergia schatziana,direct kew
Bourreria succulenta,Bourreria baccata,direct kew
Bourreria succulenta,Bourreria velutina,direct kew
Bourreria succulenta,Bourreria venosa,direct kew
Brachistus nelsonii,Brachistus affinis,direct kew
Brexia apoda,Brexia madagascariensis,direct kew
Brexia arborea,Brexia madagascariensis,direct kew
Brexia cauliflora,Brexia madagascariensis,direct kew
Brexia coursiana,Brexia madagascariensis,direct kew
Brexia decurrens,Brexia madagascariensis,direct kew
Brexia humbertii,Brexia madagascariensis,direct kew
Brexia montana,Brexia madagascariensis,direct kew
Bribria apiculata,Rinorea apiculata,direct kew
Bribria crenata,Rinorea crenata,direct kew
Brombya platynema,Melicope platynema,direct kew
Brownea rosa,Brownea rosa-de-monte,direct kew
Browneopsis cauliflora,Brownea cauliflora,direct kew
Browneopsis ucayalina,Brownea ucayalina,direct kew
Brunellia coroicoana,Brunellia sibundoya,direct kew
Brunellia propinqua,Brunellia colombiana,direct kew
Bulnesia retama,Bulnesia retamo,direct kew
Bursera arborea,Bursera simaruba,direct kew
Calliandra hymenaeoides,Calliandra hymenaeodes,direct kew
Calliandra purdiei,Calliandra purdiaei,direct kew
Calliandra tweediei,Calliandra tweedii,direct kew
Callianthe bezerrae,Bakeridesia bezerrae,direct kew
Callianthe jaliscana,Abutilon jaliscanum,direct kew
Callianthe lanata,Bakeridesia lanata,direct kew
Callianthe latipetala,Abutilon latipetalum,direct kew
Callianthe picta,Abutilon pictum,direct kew
Callianthe rufinerva,Bakeridesia rufinervis,direct kew
Callianthe torrendii,Bakeridesia torrendii,direct kew
Callianthe ulbrichii,Abutilon ulbrichii,direct kew
Callisthene castellanosii,Callisthene minor,direct kew
Callisthene kuhlmannii,Callisthene minor,direct kew
Callitropsis nootkatensis,Cupressus nootkatensis,direct kew
Calpocalyx ngouniensis,Calpocalyx ngounyensis,direct kew
Calpurnia capensis,Virgilia oroboides,direct kew
Calyptranthes estremerae,Calyptranthes estremenae,direct kew
Calyptranthes williamsii,Calyptranthes pallens,direct kew
Campnosperma gummiferum,Campnosperma gummifera,direct kew
Campylospermum congestum,Gomphia congesta,direct kew
Campylospermum densiflorum,Gomphia densiflora,direct kew
Campylospermum dependens,Gomphia dependens,direct kew
Campylospermum dybovskii,Ouratea dybovskii,direct kew
Campylospermum elongatum,Gomphia elongata,direct kew
Campylospermum engama,Ouratea engama,direct kew
Campylospermum flavum,Gomphia flava,direct kew
Campylospermum obtusifolium,Gomphia obtusifolia,direct kew
Campylospermum scheffleri,Gomphia scheffleri,direct kew
Campylospermum serratum,Gomphia serrata,direct kew
Campylospermum vogelii,Gomphia vogelii,direct kew
Canarium salomonense,Canarium solomonense,direct kew
Canarium schweinfurthii,Canarium schweinfurtii,direct kew
Cantinoa duplicatodentata,Hyptis duplicatodentata,direct kew
Caphexandra heydeana,Capparis heydeana,direct kew
Capparis grandidieri,Capparis grandidiera,direct kew
Capparis rheedei,Capparis baducca,direct kew
Carapichea adinantha,Stachyococcus adinanthus,direct kew
Carapichea klugii,Psychotria klugii,direct kew
Carapichea tillettii,Psychotria tillettii,direct kew
Cartrema americana,Osmanthus americanus,direct kew
Carya tomentosa,Carya alba,direct kew
Casearia americana,Laetia americana,direct kew
Casearia suaveolens,Laetia suaveolens,direct kew
Cassipourea congoensis,Cassipourea acuminata,direct kew
Cassipourea congoensis,Cassipourea louisii,direct kew
Cassipourea congoensis,Cassipourea congensis,direct kew
Castanospora alphandii,Castanospora alphandi,direct kew
Celtis caucasica,Celtis tupalangi,direct kew
Celtis ehrenbergiana,Celtis iguanaea,direct kew
Cephalocereus columna,Cephalocereus columna-trajani,direct kew
Cercidium praecox,Parkinsonia praecox,direct kew
Cestrum acuminatum,Cestrum lewisii,direct kew
Cestrum axillare,Cestrum laevigatum,direct kew
Cestrum capsulare,Sessea regnellii,direct kew
Cestrum parqui,Cestrum lorentzianum,direct kew
Cestrum peruvianum,Cestrum affine,direct kew
Cestrum peruvianum,Cestrum alternifolium,direct kew
Cestrum schlechtendalii,Cestrum acuminatissimum,direct kew
Cestrum schlechtendalii,Cestrum schlechtendahlii,direct kew
Chaetogastra mollis,Tibouchina mollis,direct kew
Chalybea ecuadorensis,Huilaea ecuadorensis,direct kew
Chalybea minor,Huilaea minor,direct kew
Chionanthus rupicola,Chionanthus rupicolus,direct kew
Chomelia protracta,Pittoniotis protracta,direct kew
Chromolucuma congestifolia,Pouteria congestifolia,direct kew
Chrysochlamys guatemaltecana,Tovomitopsis guatemaltecana,direct kew
Chrysochlamys membranacea,Tovomitopsis membranacea,direct kew
Cinnamomum argenteum,Cinnamomum mairei,direct kew
Cinnamomum calcareum,Cinnamomum tazia,direct kew
Cinnamomum kalbaricum,Cinnamomum grandifolium,direct kew
Cinnamomum parthenoxylon,Cinnamomum porrectum,direct kew
Cinnamomum tonkinense,Cinnamomum curvifolium,direct kew
Cladrastis shikokiana,Cladrastis sikokiana,direct kew
Clethra kenoyeri,Clethra lanata,direct kew
Cloiselia carbonaria,Dicoma carbonaria,direct kew
Cnestis lurida,Cnestis polyphylla,direct kew
Coatesia paniculata,Geijera paniculata,direct kew
Coccoloba oblonga,Coccoloba cruegeri,direct kew
Coccoloba schwackeana,Coccoloba brasiliensis,direct kew
Cola letestui,Cola le-testui,direct kew
Colea ambrensis,Ophiocolea ambrensis,direct kew
Colea darainensis,Ophiocolea darainensis,direct kew
Colea delphinensis,Ophiocolea delphinensis,direct kew
Colea floribunda,Ophiocolea floribunda,direct kew
Colea membranacea,Colea tetragona,direct kew
Colea pauciflora,Ophiocolea pauciflora,direct kew
Colea ratovosonii,Ophiocolea ratovosonii,direct kew
Combretum glaucocarpum,Thiloa glaucocarpa,direct kew
Commiphora holtziana,Commiphora kataf,direct kew
Commiphora incisa,Commiphora bruceae,direct kew
Commiphora incisa,Commiphora ellenbeckii,direct kew
Commiphora incisa,Commiphora kua,direct kew
Commiphora laxecymigera,Commiphora laxicymigera,direct kew
Condea albida,Hyptis albida,direct kew
Condea subtilis,Hyptis subtilis,direct kew
Condea tafallae,Hyptis tafallae,direct kew
Consolea macracantha,Consolea corallicola,direct kew
Consolea millspaughii,Consolea corallicola,direct kew
Copaifera guianensis,Copaifera guyanensis,direct kew
Cordia leucosebestena,Cordia leucosebestera,direct kew
Cordia oliveri,Cordia oliverii,direct kew
Cordiera killipii,Randia killipii,direct kew
Cordyloblaste pendula,Symplocos pendula,direct kew
Corymbia opaca,Corymbia terminalis,direct kew
Coulteria cubensis,Caesalpinia violacea,direct kew
Coulteria glabra,Caesalpinia colimensis,direct kew
Coulteria velutina,Caesalpinia velutina,direct kew
Coutaportla guatemalensis,Lorencea guatemalensis,direct kew
Crataegus aprica,Crataegus exilis,direct kew
Crataegus aprica,Crataegus limata,direct kew
Crataegus aprica,Crataegus segnis,direct kew
Crataegus aprica,Crataegus sororia,direct kew
Crataegus aprica,Crataegus valida,direct kew
Crataegus aprica,Crataegus visenda,direct kew
Crataegus arnoldiana,Crataegus holmesiana,direct kew
Crataegus cognata,Crataegus perjucunda,direct kew
Crataegus colonica,Crataegus furtiva,direct kew
Crataegus colonica,Crataegus lancei,direct kew
Crataegus colonica,Crataegus quaesita,direct kew
Crataegus colonica,Crataegus resima,direct kew
Crataegus florens,Crataegus alabamensis,direct kew
Crataegus florens,Crataegus insidiosa,direct kew
Crataegus fluviatilis,Crataegus apiomorpha,direct kew
Crataegus frugiferens,Crataegus alleghaniensis,direct kew
Crataegus frugiferens,Crataegus extraria,direct kew
Crataegus frugiferens,Crataegus impar,direct kew
Crataegus frugiferens,Crataegus rigens,direct kew
Crataegus fulleriana,Crataegus coccinea,direct kew
Crataegus fulleriana,Crataegus pringlei,direct kew
Crataegus gattingeri,Crataegus bona,direct kew
Crataegus glabriuscula,Crataegus ovata,direct kew
Crataegus glabriuscula,Crataegus penita,direct kew
Crataegus glabriuscula,Crataegus poliophylla,direct kew
Crataegus glabriuscula,Crataegus sutherlandensis,direct kew
Crataegus glabriuscula,Crataegus viridis,direct kew
Crataegus glabriuscula,Crataegus vulsa,direct kew
Crataegus lanata,Crataegus integra,direct kew
Crataegus lanata,Crataegus lassa,direct kew
Crataegus levis,Crataegus aemula,direct kew
Crataegus levis,Crataegus iracunda,direct kew
Crataegus meridionalis,Crataegus mollis,direct kew
Crataegus palmeri,Crataegus reverchonii,direct kew
Crataegus parryana,Crataegus rosei,direct kew
Crataegus populnea,Crataegus compta,direct kew
Crataegus pulcherrima,Crataegus ancisa,direct kew
Crataegus pulcherrima,Crataegus contrita,direct kew
Crataegus pulcherrima,Crataegus mendosa,direct kew
Crataegus pulcherrima,Crataegus opima,direct kew
Crataegus pulcherrima,Crataegus pinetorum,direct kew
Crataegus rubella,Crataegus biltmoreana,direct kew
Crataegus rubella,Crataegus boyntonii,direct kew
Crataegus rubella,Crataegus intricata,direct kew
Crataegus senta,Crataegus furtiva,direct kew
Crataegus senta,Crataegus lancei,direct kew
Crataegus senta,Crataegus quaesita,direct kew
Crataegus senta,Crataegus resima,direct kew
Crataegus texana,Crataegus dallasiana,direct kew
Crataegus viburnifolia,Crataegus mollis,direct kew
Cremastosperma killipii,Cremastosperma longicuspe,direct kew
Critoniopsis paradoxa,Tephrothamnus paradoxus,direct kew
Crossopetalum parvifolium,Crossopetalum uragoga,direct kew
Croton catatii,Croton catati,direct kew
Crudia pubescens,Crudia oblonga,direct kew
Cryptocarya ambrensis,Ravensara acutifolia,direct kew
Cryptocarya bellendenkerana,Cryptocarya bellendenkeriana,direct kew
Cryptocarya canaliculata,Ravensara impressa,direct kew
Cryptocarya coriacea,Ravensara coriacea,direct kew
Cryptocarya howii,Cryptocarya metcalfiana,direct kew
Cryptocarya longepetiolata,Cryptocarya longipetiolata,direct kew
Cryptocarya montana,Ravensara montana,direct kew
Cryptocarya multiflora,Ravensara floribunda,direct kew
Cryptocarya occidentalis,Ravensara perrieri,direct kew
Cryptocarya perareolata,Ravensara perareolata,direct kew
Cryptocarya petiolata,Ravensara affinis,direct kew
Cryptocarya polyneura,Ravensara polyneura,direct kew
Cryptocarya rigidifolia,Ravensara elliptica,direct kew
Cryptocarya subcorymbosa,Cryptocarya aschersoniana,direct kew
Cryptocarya vaccinioides,Cryptocarya myrtifolia,direct kew
Cryptocarya vanderwerffii,Ravensara macrophylla,direct kew
Cryptocarya velloziana,Cryptocarya vellozoana,direct kew
Csapodya challengeri,Csapodya splendens,direct kew
Csapodya sousae,Csapodya splendens,direct kew
Cyanocephalus lippioides,Hyptis lippioides,direct kew
Cynometra basifoliola,Maniltoa basifoliola,direct kew
Cynometra brassii,Maniltoa brassii,direct kew
Cynometra browneoides,Maniltoa browneoides,direct kew
Cynometra cynometroides,Maniltoa cynometroides,direct kew
Cynometra lenticellata,Maniltoa lenticellata,direct kew
Cynometra mariettae,Maniltoa mariettae,direct kew
Cynometra megalocephala,Maniltoa megalocephala,direct kew
Cynometra novoguineensis,Cynometra novo-guineensis,direct kew
Cynometra phaselocarpa,Cynometra spruceana,direct kew
Cynometra plurijuga,Maniltoa plurijuga,direct kew
Cynometra psilogyne,Maniltoa psilogyne,direct kew
Cynometra rosea,Maniltoa rosea,direct kew
Cynometra schefferi,Maniltoa schefferi,direct kew
Cynometra steenisii,Maniltoa steenisii,direct kew
Cynophalla amplissima,Capparis amplissima,direct kew
Cyrtophyllum fragrans,Fagraea fragrans,direct kew
Dacryodes trinitensis,Dacryodes belemensis,direct kew
Dahlstedtia araripensis,Lonchocarpus araripensis,direct kew
Dahlstedtia muehlbergiana,Lonchocarpus muehlbergianus,direct kew
Dalbergia cubilquitzensis,Dalbergia tucurensis,direct kew
Dalbergia glomeriflora,Dalbergia lacei,direct kew
Dalbergiella nyasae,Dalbergiella nyassae,direct kew
Dalrympelea nitida,Turpinia nitida,direct kew
Dalrympelea sphaerocarpa,Turpinia sphaerocarpa,direct kew
Damburneya ambigens,Nectandra ambigens,direct kew
Damburneya bicolor,Nectandra bicolor,direct kew
Damburneya cufodontisii,Nectandra cufodontisii,direct kew
Damburneya gentlei,Nectandra lundellii,direct kew
Damburneya leucocome,Nectandra leucocome,direct kew
Damburneya longicaudata,Nectandra longicaudata,direct kew
Damburneya longipetiolata,Nectandra longipetiolata,direct kew
Damburneya martinicensis,Nectandra martinicensis,direct kew
Damburneya matudae,Nectandra matudae,direct kew
Damburneya mirafloris,Nectandra mirafloris,direct kew
Damburneya patens,Nectandra patens,direct kew
Damburneya purpurea,Nectandra purpurea,direct kew
Damburneya rudis,Nectandra rudis,direct kew
Damburneya salicifolia,Nectandra salicifolia,direct kew
Damburneya salicina,Nectandra salicina,direct kew
Damburneya smithii,Nectandra smithii,direct kew
Damburneya umbrosa,Nectandra umbrosa,direct kew
Deguelia amazonica,Lonchocarpus negrensis,direct kew
Delavaya toxocarpa,Delavaya yunnanensis,direct kew
Dendrocnide moroides,Dendrocnide moroidea,direct kew
Dendrocousinsia howardiana,Sebastiania howardiana,direct kew
Denisophytum buchii,Caesalpinia buchii,direct kew
Denisophytum madagascariense,Caesalpinia madagascariensis,direct kew
Deppea scoti,Bellizinca scoti,direct kew
Derris alborubra,Derris albo-rubra,direct kew
Desbordesia glaucescens,Desbordesia insignis,direct kew
Dialium eurysepalum,Dialium bipindense,direct kew
Dillenia pteropoda,Dillenia ptempoda,direct kew
Diospyros coaetanea,Diospyros coaetanca,direct kew
Diospyros ferrea,Diospyros vera,direct kew
Diospyros meeusiana,Maba meeusiana,direct kew
Diospyros myriophylla,Maba myriophylla,direct kew
Diospyros obducta,Maba obducta,direct kew
Diospyros olacinoides,Maba olacinoides,direct kew
Diospyros pervilleana,Maba pervilleana,direct kew
Diospyros quercina,Maba quercina,direct kew
Diospyros stenocarpa,Maba stenocarpa,direct kew
Diospyros toposia,Diospyros racemosa,direct kew
Diospyros tropophylla,Maba tropophylla,direct kew
Diospyros velutinosa,Diospyros vestita,direct kew
Diploglottis australis,Diploglottis cunninghamii,direct kew
Diploglottis bernieana,Diploglottis berniana,direct kew
Dissotidendron caloneurum,Dissotis caloneura,direct kew
Dissotidendron melleri,Dissotis melleri,direct kew
Dombeya longebracteolata,Dombeya longibracteolata,direct kew
Donella ambrensis,Chrysophyllum ambrense,direct kew
Donella analalavensis,Chrysophyllum analalavense,direct kew
Donella capuronii,Chrysophyllum capuronii,direct kew
Donella delphinensis,Chrysophyllum delphinense,direct kew
Donella fenerivensis,Chrysophyllum fenerivense,direct kew
Donella guereliana,Chrysophyllum guerelianum,direct kew
Donella lanceolata,Chrysophyllum roxburghii,direct kew
Donella masoalensis,Chrysophyllum masoalense,direct kew
Donella perrieri,Chrysophyllum perrieri,direct kew
Donella pruniformis,Chrysophyllum pruniforme,direct kew
Donella ubangiensis,Chrysophyllum ubanguiense,direct kew
